variable,demand_site,wba_group,delivery_group,groundwater,include,Demand,Supply_Source,project,branch,start,end,sign
transmission_link_from_sacramento_river_rm_178_to_a_08_sa1,a_08_sa1,cvp_total,cvp_total,FALSE,TRUE,A_08_SA1,Sacramento River RM 178,cvp,Supply and Resources\Transmission Links\to A_08_SA1\from Sacramento River RM 178: Flow,April,October,1
transmission_link_from_colusa_basin_drainage_canal_cm_041_to_a_08_sa2,a_08_sa2,cvp_total,cvp_total,FALSE,TRUE,A_08_SA2,Colusa Basin Drainage Canal CM 041,cvp,Supply and Resources\Transmission Links\to A_08_SA2\from Colusa Basin Drainage Canal CM 041: Flow,April,October,1
transmission_link_from_glenn_colusa_canal_cm_027_to_a_08_sa2,a_08_sa2,cvp_total,cvp_total,FALSE,TRUE,A_08_SA2,Glenn Colusa Canal CM 027,cvp,Supply and Resources\Transmission Links\to A_08_SA2\from Glenn Colusa Canal CM 027: Flow,April,October,1
transmission_link_from_colusa_basin_drainage_canal_cm_028_to_a_08_sa3,a_08_sa3,cvp_total,cvp_total,FALSE,TRUE,A_08_SA3,Colusa Basin Drainage Canal CM 028,cvp,Supply and Resources\Transmission Links\to A_08_SA3\from Colusa Basin Drainage Canal CM 028: Flow,April,October,1
transmission_link_from_sacramento_river_rm_109_to_a_08_sa3,a_08_sa3,cvp_total,cvp_total,FALSE,TRUE,A_08_SA3,Sacramento River RM 109,cvp,Supply and Resources\Transmission Links\to A_08_SA3\from Sacramento River RM 109: Flow,April,October,1
transmission_link_from_sacramento_river_rm_121_to_a_08_sa3,a_08_sa3,cvp_total,cvp_total,FALSE,TRUE,A_08_SA3,Sacramento River RM 121,cvp,Supply and Resources\Transmission Links\to A_08_SA3\from Sacramento River RM 121: Flow,April,October,1
transmission_link_from_butte_creek_rm_045_to_a_09_sa1,a_09_sa1,cvp_total,cvp_total,FALSE,TRUE,A_09_SA1,Butte Creek RM 045,cvp,Supply and Resources\Transmission Links\to A_09_SA1\from Butte Creek RM 045: Flow,April,October,1
transmission_link_from_sacramento_river_rm_196_to_a_09_sa1,a_09_sa1,cvp_total,cvp_total,FALSE,TRUE,A_09_SA1,Sacramento River RM 196,cvp,Supply and Resources\Transmission Links\to A_09_SA1\from Sacramento River RM 196: Flow,April,October,1
transmission_link_from_butte_creek_rm_012_to_a_09_sa2,a_09_sa2,cvp_total,cvp_total,FALSE,TRUE,A_09_SA2,Butte Creek RM 012,cvp,Supply and Resources\Transmission Links\to A_09_SA2\from Butte Creek RM 012: Flow,April,October,1
transmission_link_from_sacramento_river_rm_162_to_a_09_sa2,a_09_sa2,cvp_total,cvp_total,FALSE,TRUE,A_09_SA2,Sacramento River RM 162,cvp,Supply and Resources\Transmission Links\to A_09_SA2\from Sacramento River RM 162: Flow,April,October,1
transmission_link_from_feather_river_rm_021_to_a_16_pa,a_16_pa,cvp_total,cvp_total,FALSE,TRUE,A_16_PA,Feather River RM 021,cvp,Supply and Resources\Transmission Links\to A_16_PA\from Feather River RM 021: Flow,March,February,1
transmission_link_from_sacramento_river_rm_115_to_a_18_19_sa,a_18_19_sa,cvp_total,cvp_total,FALSE,TRUE,A_18_19_SA,Sacramento River RM 115,cvp,Supply and Resources\Transmission Links\to A_18_19_SA\from Sacramento River RM 115: Flow,April,October,1
transmission_link_from_sacramento_river_rm_121_to_a_18_19_sa,a_18_19_sa,cvp_total,cvp_total,FALSE,TRUE,A_18_19_SA,Sacramento River RM 121,cvp,Supply and Resources\Transmission Links\to A_18_19_SA\from Sacramento River RM 121: Flow,April,October,1
transmission_link_from_sacramento_river_rm_136_to_a_18_19_sa,a_18_19_sa,cvp_total,cvp_total,FALSE,TRUE,A_18_19_SA,Sacramento River RM 136,cvp,Supply and Resources\Transmission Links\to A_18_19_SA\from Sacramento River RM 136: Flow,April,October,1
